Trial,Observable,Embedding,Embedding Type,Entangled,Iteration,Cost,Train Acc,Validation Acc
1,PauliX,amplitude_encoding,N/A,N/A,1,1.012185762,0.52,0.44
1,PauliX,amplitude_encoding,N/A,N/A,2,0.992732968,0.52,0.44
1,PauliX,amplitude_encoding,N/A,N/A,3,0.929121108,0.52,0.44
1,PauliX,amplitude_encoding,N/A,N/A,4,0.859081355,1,1
1,PauliX,amplitude_encoding,N/A,N/A,5,0.813517212,1,1
1,PauliX,amplitude_encoding,N/A,N/A,6,0.792481314,0.973333333,0.92
1,PauliX,amplitude_encoding,N/A,N/A,7,0.743705361,0.906666667,0.88
1,PauliX,amplitude_encoding,N/A,N/A,8,0.737365004,0.52,0.44
1,PauliX,amplitude_encoding,N/A,N/A,9,0.700797189,0.533333333,0.52
1,PauliX,amplitude_encoding,N/A,N/A,10,0.660531903,0.64,0.6
1,PauliX,amplitude_encoding,N/A,N/A,11,0.616061283,0.866666667,0.84
1,PauliX,amplitude_encoding,N/A,N/A,12,0.572466368,0.973333333,1
1,PauliX,amplitude_encoding,N/A,N/A,13,0.530601176,1,1
1,PauliX,amplitude_encoding,N/A,N/A,14,0.51679046,1,1
1,PauliX,amplitude_encoding,N/A,N/A,15,0.530083639,1,1
1,PauliX,amplitude_encoding,N/A,N/A,16,0.566469408,0.986666667,0.96
1,PauliX,amplitude_encoding,N/A,N/A,17,0.606014353,0.746666667,0.64
1,PauliX,amplitude_encoding,N/A,N/A,18,0.604737173,0.746666667,0.64
1,PauliX,amplitude_encoding,N/A,N/A,19,0.578794943,0.933333333,0.92
1,PauliX,amplitude_encoding,N/A,N/A,20,0.550846538,1,1
1,PauliX,amplitude_encoding,N/A,N/A,21,0.546087583,1,1
1,PauliX,amplitude_encoding,N/A,N/A,22,0.550218772,1,1
1,PauliX,amplitude_encoding,N/A,N/A,23,0.586060658,0.946666667,0.92
1,PauliX,amplitude_encoding,N/A,N/A,24,0.673560813,0.52,0.48
1,PauliX,amplitude_encoding,N/A,N/A,25,0.660086466,0.52,0.48
1,PauliX,amplitude_encoding,N/A,N/A,26,0.577332757,0.733333333,0.68
1,PauliX,amplitude_encoding,N/A,N/A,27,0.500063111,0.986666667,1
1,PauliX,amplitude_encoding,N/A,N/A,28,0.476876416,1,1
1,PauliX,amplitude_encoding,N/A,N/A,29,0.508419314,1,1
1,PauliX,amplitude_encoding,N/A,N/A,30,0.554426261,1,1
1,PauliX,amplitude_encoding,N/A,N/A,31,0.581919051,1,1
1,PauliX,amplitude_encoding,N/A,N/A,32,0.594012048,1,1
1,PauliX,amplitude_encoding,N/A,N/A,33,0.584793407,1,1
1,PauliX,amplitude_encoding,N/A,N/A,34,0.561738624,1,1
1,PauliX,amplitude_encoding,N/A,N/A,35,0.531839539,1,1
1,PauliX,amplitude_encoding,N/A,N/A,36,0.494710184,1,1
1,PauliX,amplitude_encoding,N/A,N/A,37,0.46508414,1,1
1,PauliX,amplitude_encoding,N/A,N/A,38,0.445916371,1,1
1,PauliX,amplitude_encoding,N/A,N/A,39,0.437323841,1,1
1,PauliX,amplitude_encoding,N/A,N/A,40,0.434837728,1,1
1,PauliX,amplitude_encoding,N/A,N/A,41,0.440013716,1,1
1,PauliX,amplitude_encoding,N/A,N/A,42,0.447208937,1,1
1,PauliX,amplitude_encoding,N/A,N/A,43,0.454902362,1,1
1,PauliX,amplitude_encoding,N/A,N/A,44,0.451843918,1,1
1,PauliX,amplitude_encoding,N/A,N/A,45,0.446573568,1,1
1,PauliX,amplitude_encoding,N/A,N/A,46,0.442712005,1,1
